mesh,distance_bin,epsilon,rmse,mean_bias,mean_steps
bunny,1,1e-02,0.7675299128189969,0.31067044757142853,7.805617557142858
bunny,2,1e-02,0.34624301127211965,0.12644168668636366,8.279296872727274
bunny,3,1e-02,0.11365289206520017,0.04609844346086956,8.057574726086957
bunny,4,1e-02,0.03719512555481204,0.015776039949125003,6.688639322916667
bunny,1,1e-03,0.1200173226659646,0.04398793088523809,27.000186023809523
bunny,2,1e-03,0.050751647832720764,0.016313025731227275,22.065518470454546
bunny,3,1e-03,0.02168001336774197,0.010770910939400436,18.084408965217392
bunny,4,1e-03,0.011539961142543116,0.010418870369208334,14.657389327083331
bunny,1,1e-04,0.04261764089382246,0.015594971942,99.08835558571428
bunny,2,1e-04,0.018649004321035938,0.014690138142636365,61.226562504545456
bunny,3,1e-04,0.0146919742560122,0.012906560937391304,37.956182060869565
bunny,4,1e-04,0.008384915229549149,0.006874454983625,26.626464845833336
bunny,1,1e-05,0.04365577771583024,0.013284544062857142,188.1447172761905
bunny,2,1e-05,0.017736398403202437,0.01220115900890909,102.92276280909091
bunny,3,1e-05,0.010767445460223525,0.010693510145130435,54.023437513043476
bunny,4,1e-05,0.010035510186583899,0.008884480804675,37.579101566666665
spot,1,1e-02,0.5458685050517839,0.1646856357740909,13.217507104545454
spot,2,1e-02,0.15144174764982704,0.049119089406250004,10.30452474375
spot,3,1e-02,0.05623095233768142,0.021936087555166666,8.44222005625
spot,1,1e-03,0.20289440062241718,0.06224125859318182,44.49325284545455
spot,2,1e-03,0.07060278116058667,0.034463652111666666,24.25748697708333
spot,3,1e-03,0.024275106565994926,0.020160580988708335,17.1728515625
spot,1,1e-04,0.16600618148741828,0.05199794624454546,126.84055397272728
spot,2,1e-04,0.07475132240516183,0.0348286051275,46.830729158333334
spot,3,1e-04,0.02229916729848025,0.023655995101666664,28.32177733541667
spot,1,1e-05,0.17583579326268195,0.059731358990454536,167.90642742272726
spot,2,1e-05,0.05657759908275842,0.03500708627333333,63.801920566666666
spot,3,1e-05,0.02261291984229388,0.014295682001874999,37.2389322875
