feature,target,pearson_r,n
nearest_surface_distance_proxy,abs_error,-0.44575280521940547,20
nearest_surface_distance_proxy,sample_variance,-0.7839973757173073,20
nearest_surface_distance_proxy,std_error,-0.7310627574678338,20
nearest_surface_distance_proxy,samples_used,-0.4695568973957495,20
nearest_surface_distance_proxy,predicted_samples,-0.4695568973957495,20
nearest_surface_distance_proxy_norm,abs_error,-0.4457528052194054,20
nearest_surface_distance_proxy_norm,sample_variance,-0.7839973757173072,20
nearest_surface_distance_proxy_norm,std_error,-0.7310627574678337,20
nearest_surface_distance_proxy_norm,samples_used,-0.4695568973957497,20
nearest_surface_distance_proxy_norm,predicted_samples,-0.4695568973957497,20
local_triangle_area,abs_error,-0.02706512910135458,20
local_triangle_area,sample_variance,-0.04423378209372654,20
local_triangle_area,std_error,-0.06879748863655438,20
local_triangle_area,samples_used,-0.4832973256218003,20
local_triangle_area,predicted_samples,-0.4832973256218003,20
local_triangle_size,abs_error,-0.018680943205785845,20
local_triangle_size,sample_variance,-0.08720183266291995,20
local_triangle_size,std_error,-0.08597445541433925,20
local_triangle_size,samples_used,-0.5323208515967444,20
local_triangle_size,predicted_samples,-0.5323208515967444,20
local_triangle_size_norm,abs_error,-0.018680943205785693,20
local_triangle_size_norm,sample_variance,-0.08720183266291995,20
local_triangle_size_norm,std_error,-0.08597445541433923,20
local_triangle_size_norm,samples_used,-0.5323208515967444,20
local_triangle_size_norm,predicted_samples,-0.5323208515967444,20
local_triangle_aspect_ratio,abs_error,0.08497014293500088,20
local_triangle_aspect_ratio,sample_variance,-0.12977560321245699,20
local_triangle_aspect_ratio,std_error,-0.07126075121330491,20
local_triangle_aspect_ratio,samples_used,-0.11368165386092574,20
local_triangle_aspect_ratio,predicted_samples,-0.11368165386092574,20
local_triangle_quality,abs_error,0.10659866485937376,20
local_triangle_quality,sample_variance,0.1579999541179251,20
local_triangle_quality,std_error,0.11005800400423749,20
local_triangle_quality,samples_used,0.10402727356837305,20
local_triangle_quality,predicted_samples,0.10402727356837305,20
local_normal_variation,abs_error,0.004989460707518047,20
local_normal_variation,sample_variance,-0.23871852335408866,20
local_normal_variation,std_error,-0.11925461981128463,20
local_normal_variation,samples_used,0.016579611472141223,20
local_normal_variation,predicted_samples,0.016579611472141223,20
local_curvature_proxy,abs_error,0.004989460707518047,20
local_curvature_proxy,sample_variance,-0.23871852335408866,20
local_curvature_proxy,std_error,-0.11925461981128463,20
local_curvature_proxy,samples_used,0.016579611472141223,20
local_curvature_proxy,predicted_samples,0.016579611472141223,20
