ix,iy,iz,bias_indicator,normalized_bias
2,5,2,0.1793299,1.937992
4,4,5,0.17708641,1.4764786
2,6,3,0.16763595,1.5054406
4,6,3,0.15835834,1.3200332
5,5,6,0.13503206,1.8925335
3,4,2,0.12531495,1.2227837
3,4,3,0.11787732,1.0876721
1,5,5,0.11410955,1.230796
4,5,6,0.1078712,1.6038417
5,6,1,0.1072786,1.2573341
5,5,1,0.097619109,0.93866152
4,2,3,0.097260073,0.82768482
5,6,2,0.096969023,1.1342895
5,3,4,0.093515575,0.59146273
6,4,4,0.086647823,0.90289712
4,4,2,0.086031571,0.6942901
4,4,6,0.082703575,0.89572859
2,3,2,0.081946492,0.59190315
1,6,5,0.081787989,1.0060427
5,4,4,0.081515968,0.71826792
3,5,5,0.079328433,0.69174194
2,4,1,0.077545941,1.0486647
1,6,4,0.074339904,1.034749
3,2,2,0.072862178,0.89755327
3,1,6,0.071962595,0.77068269
